pid,name,cpu_usage,memory_usage,read_bytes,write_bytes,status,create_time,nice,n_threads,cores
19904,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:35,0,1,2
19936,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 09:36,0,1,2
19934,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:36,0,1,2
19927,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:36,0,1,2
19923,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:35,0,1,2
19917,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:35,0,1,2
19913,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:35,0,1,2
19910,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:52,0,1,2
19909,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 02:52,0,1,2
19935,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:36,0,1,2
20223,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:03,0,1,2
20224,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 09:45,0,1,2
20231,kworker/u4:2-events_power_efficient,0,0.00B,0.00B,0.00B,idle,11-04-2021 16:45,0,1,2
20623,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:16,0,1,2
20618,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 03:16,0,1,2
20613,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:59,0,1,2
20612,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:59,0,1,2
20604,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:59,0,1,2
20603,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:59,0,1,2
20574,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 09:57,0,1,2
20655,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:18,0,1,2
20552,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:56,0,1,2
20550,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:56,0,1,2
20536,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:56,0,1,2
20525,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:55,0,1,2
20524,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:55,0,1,2
20513,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:14,0,1,2
20504,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:14,0,1,2
20501,kworker/u4:0-events_power_efficient,0,0.00B,0.00B,0.00B,idle,11-04-2021 16:52,0,1,2
20551,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:56,0,1,2
20500,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:52,0,1,2
20664,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:18,0,1,2
20707,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 10:01,0,1,2
20920,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:09,0,1,2
20919,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:09,0,1,2
20915,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:20,0,1,2
20881,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:07,0,1,2
20880,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 10:07,0,1,2
20871,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:07,0,1,2
20857,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:06,0,1,2
20681,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:00,0,1,2
20856,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:06,0,1,2
20832,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:05,0,1,2
20823,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 10:05,0,1,2
20780,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:04,0,1,2
20771,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:04,0,1,2
20752,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:03,0,1,2
20734,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:02,0,1,2
20720,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:01,0,1,2
20855,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:06,0,1,2
19783,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:47,0,1,2
